0,2,7
1,13,33
2,36,85
3,186,421
4,407,908
5,708,1580
6,7377,16492
7,7377,16492
8,22125,49465
9,93701,209516
10,575179,1286149
11,1479166,3307525
12,2287724,5115500
13,7520777,16816953

0,3,14
1,16,42
2,34,64
3,82,147
4,130,231
5,210,356
6,615,1034
7,615,1034
8,881,1517
9,1484,2464
10,2442,4025
11,3658,5877
12,4287,6655
13,6673,10216

0,1,4
1,2,7
2,6,17
3,17,42
4,24,54
5,49,104
6,287,593
7,287,593
8,405,839
9,953,2046
10,1904,4036
11,7551,15924
12,14798,31055
13,24628,51514

0,1,6
1,2,10
2,6,24
3,11,33
4,13,36
5,16,46
6,53,123
7,53,123
8,68,173
9,97,199
10,102,227
11,161,374
12,232,527
13,246,571
